order_id,user_id,product_id,product_name,order_status,payment_status,fulfillment_status,tracking_number,carrier,estimated_delivery_time,is_cancelable,is_refundable,created_at,updated_at,mock_note
MOCK202606260001,mock_user_002,makeup_api:668,Diorific,pending_payment,unpaid,not_shipped,,,,true,false,2026-05-29T13:56:29+00:00,2026-05-30T04:56:29+00:00,Mock order only; no real customer data.
MOCK202606260002,mock_user_003,makeup_api:487,Physicians Formula Bronze Booster Airbrushing Bronzing Veil,paid,paid,processing,,,,true,true,2026-06-26T07:56:29+00:00,2026-06-29T23:56:29+00:00,Mock order only; no real customer data.
MOCK202606260003,mock_user_004,makeup_api:36,Wet n Wild Mega Protein Mascara,paid,paid,shipped,SF6046680126,SF Express,2026-06-30,false,true,2026-06-23T19:56:29+00:00,2026-06-24T10:56:29+00:00,Mock order only; no real customer data.
MOCK202606260004,mock_user_005,makeup_api:774,Soft-Pressed Powder Blusher,paid,paid,shipped,YTO4508636483,YTO Express,2026-07-01,false,true,2026-06-26T04:56:29+00:00,2026-06-26T19:56:29+00:00,Mock order only; no real customer data.
MOCK202606260005,mock_user_006,makeup_api:1031,Bronzer - pressed,completed,paid,delivered,JD7593100236,JD Logistics,2026-06-25,false,true,2026-06-03T14:56:29+00:00,2026-06-04T02:56:29+00:00,Mock order only; no real customer data.
MOCK202606260006,mock_user_007,openbeautyfacts:8699512011899,Otacı Gül Kürü Yüz ve Boyun Kremi 50 ml,refund_requested,paid,delivered,SF6374429321,SF Express,2026-06-24,false,true,2026-06-03T03:56:29+00:00,2026-06-06T07:56:29+00:00,Mock order only; no real customer data.
MOCK202606260007,mock_user_008,makeup_api:250,CoverGirl Ink it! By Perfect Point Plus Eyeliner,cancelled,refunded,not_shipped,,,,false,false,2026-06-21T01:56:29+00:00,2026-06-22T11:56:29+00:00,Mock order only; no real customer data.
MOCK202606260008,mock_user_001,makeup_api:962,Faux Whites Eye Brightener,exception,paid,shipping_exception,ZTO6690455566,ZTO Express,2026-07-03,false,true,2026-06-23T17:56:29+00:00,2026-06-24T00:56:29+00:00,Mock order only; no real customer data.
MOCK202606260009,mock_user_002,makeup_api:212,Cargo Cosmetics TexasLiner Liquid Eye Liner,pending_payment,unpaid,not_shipped,,,,true,false,2026-06-14T22:56:29+00:00,2026-06-17T02:56:29+00:00,Mock order only; no real customer data.
MOCK202606260010,mock_user_003,makeup_api:795,Pretty Easy™ Liquid Eyelining Pen,paid,paid,processing,,,,true,true,2026-06-04T20:56:29+00:00,2026-06-08T15:56:29+00:00,Mock order only; no real customer data.
MOCK202606260011,mock_user_004,makeup_api:703,Diorshow New Look,paid,paid,shipped,SF9049524388,SF Express,2026-06-30,false,true,2026-06-05T14:56:29+00:00,2026-06-07T20:56:29+00:00,Mock order only; no real customer data.
MOCK202606260012,mock_user_005,makeup_api:698,Holiday Diorshow Pump n' Volume Set,paid,paid,shipped,YTO2935228777,YTO Express,2026-07-01,false,true,2026-06-17T19:56:29+00:00,2026-06-20T22:56:29+00:00,Mock order only; no real customer data.
MOCK202606260013,mock_user_006,makeup_api:710,Dior Addict It-Line,completed,paid,delivered,JD9923032831,JD Logistics,2026-06-25,false,true,2026-06-22T05:56:29+00:00,2026-06-24T07:56:29+00:00,Mock order only; no real customer data.
MOCK202606260014,mock_user_007,makeup_api:885,Simply Red Lip Cream,refund_requested,paid,delivered,SF6182555876,SF Express,2026-06-24,false,true,2026-06-04T14:56:29+00:00,2026-06-04T19:56:29+00:00,Mock order only; no real customer data.
